is_accepted,score,last_activity_date,creation_date,answer_id,question_id,content_license,owner_reputation,owner_user_id,owner_user_type,owner_accept_rate,owner_profile_image,owner_display_name,owner_link,last_edit_date,community_owned_date,insert_date
True,0,1654029422,1654029422,72453868,72408683,CC BY-SA 4.0,240,1825365,registered,75.0,https://i.stack.imgur.com/lArx2.jpg?s=256&g=1,dhsmith,https://stackoverflow.com/users/1825365/dhsmith,,,2022-05-27
False,0,1654016621,1653667244,72408133,72407612,CC BY-SA 4.0,7855,14278448,registered,,https://www.gravatar.com/avatar/a5e0f10c9d7094a6ad3ce216927c60cb?s=256&d=identicon&r=PG&f=1,Cameron Riddell,https://stackoverflow.com/users/14278448/cameron-riddell,1654016621.0,,2022-05-27
True,1,1654002842,1653658914,72406360,72403450,CC BY-SA 4.0,7855,14278448,registered,,https://www.gravatar.com/avatar/a5e0f10c9d7094a6ad3ce216927c60cb?s=256&d=identicon&r=PG&f=1,Cameron Riddell,https://stackoverflow.com/users/14278448/cameron-riddell,1654002842.0,,2022-05-27
False,1,1653981277,1653679550,72410204,72410081,CC BY-SA 4.0,80564,16343464,registered,,https://www.gravatar.com/avatar/0555bd0deb416a320a0069abef08078a?s=256&d=identicon&r=PG&f=1,mozway,https://stackoverflow.com/users/16343464/mozway,1653981277.0,,2022-05-27
False,0,1653939023,1653936276,72438815,72411294,CC BY-SA 4.0,373,8635767,registered,,https://www.gravatar.com/avatar/d8e53820c74e237682cc8e4035cd7448?s=256&d=identicon&r=PG&f=1,Jiamei,https://stackoverflow.com/users/8635767/jiamei,1653939023.0,,2022-05-27
True,1,1653920672,1653636871,72401993,72401928,CC BY-SA 4.0,80564,16343464,registered,,https://www.gravatar.com/avatar/0555bd0deb416a320a0069abef08078a?s=256&d=identicon&r=PG&f=1,mozway,https://stackoverflow.com/users/16343464/mozway,1653920672.0,,2022-05-27
True,2,1653920618,1653678432,72410037,72409905,CC BY-SA 4.0,80564,16343464,registered,,https://www.gravatar.com/avatar/0555bd0deb416a320a0069abef08078a?s=256&d=identicon&r=PG&f=1,mozway,https://stackoverflow.com/users/16343464/mozway,1653920618.0,,2022-05-27
False,1,1653870429,1653870429,72428171,72403021,CC BY-SA 4.0,2224,19123103,registered,,https://www.gravatar.com/avatar/68bb264e545b3367adad647a251e9fe6?s=256&d=identicon&r=PG&f=1,not a robot,https://stackoverflow.com/users/19123103/not-a-robot,,,2022-05-27
False,0,1653863652,1653863223,72427697,72399838,CC BY-SA 4.0,2895,11865956,registered,,https://www.gravatar.com/avatar/45a86e0f2929ad6e1475978ffa510cfe?s=256&d=identicon&r=PG&f=1,BeRT2me,https://stackoverflow.com/users/11865956/bert2me,1653863652.0,,2022-05-27
False,0,1653839895,1653839895,72425180,72401917,CC BY-SA 4.0,5446,11246056,registered,,https://i.stack.imgur.com/dmC60.jpg?s=256&g=1,Laurent,https://stackoverflow.com/users/11246056/laurent,,,2022-05-27
